Id,Label,month
2024-01-27_1257.txt,"Israel’s war on Gaza: List of key events, day 113",1
2024-01-25_1284.txt,"Israel’s war on Gaza: List of key events, day 111",1
2024-01-18_1360.txt,"Israel’s war on Gaza: List of key events, day 104",1
2024-02-27_934.txt,"Israel’s war on Gaza: List of key events, day 144",2
2024-01-30_1226.txt,"Israel’s war on Gaza: List of key events, day 116",1
2024-01-11_1444.txt,"Israel’s war on Gaza: List of key events, day 97",1
2024-01-16_1382.txt,"Israel’s war on Gaza: List of key events, day 102",1
2024-03-26_254.txt,"Israel’s war on Gaza: List of key events, day 172",3
2024-03-11_390.txt,"Is­rael’s war on Gaza: List of key events, day 157",3
2024-03-18_330.txt,"Is­rael’s war on Gaza: List of key events, day 164",3
2024-01-15_1394.txt,"Israel’s war on Gaza: List of key events, day 101",1
2024-02-22_989.txt,"Israel’s war on Gaza: List of key events, day 139",2
2024-03-01_894.txt,"Israel’s war on Gaza: List of key events, day 147",3
2024-02-23_977.txt,"Israel’s war on Gaza: List of key events, day 140",2
2024-02-14_1091.txt,"Israel’s war on Gaza: List of key events, day 131",2
2024-01-19_1351.txt,"Israel’s war on Gaza: List of key events, day 105",1
2024-03-16_343.txt,"Is­rael’s war on Gaza: List of key events, day 162",3
2024-02-25_957.txt,"Israel’s war on Gaza: List of key events, day 142",2
2024-01-21_1329.txt,"Israel’s war on Gaza: List of key events, day 107",1
2024-01-29_1237.txt,"Israel’s war on Gaza: List of key events, day 115",1
2024-01-14_1405.txt,"Israel’s war on Gaza: List of key events, day 100",1
2024-02-18_1049.txt,"Israel’s war on Gaza: List of key events, day 135",2
2024-03-27_246.txt,"Israel’s war on Gaza: List of key events, day 173",3
2024-01-22_1317.txt,"Israel’s war on Gaza: List of key events, day 108",1
2024-01-31_1221.txt,"Israel’s war on Gaza: List of key events, day 117",1
2024-01-17_1370.txt,"Israel’s war on Gaza: List of key events, day 103",1
2024-03-02_885.txt,"Israel’s war on Gaza: List of key events, day 148",3
2024-01-26_1275.txt,"Israel’s war on Gaza: List of key events, day 112",1
2024-03-09_810.txt,"Israel’s war on Gaza: List of key events, day 155",3
2024-03-07_832.txt,"Israel’s war on Gaza: List of key events, day 153",3
2024-03-08_819.txt,"Israel’s war on Gaza: List of key events, day 154",3
2024-03-05_856.txt,"Israel’s war on Gaza: List of key events, day 151",3
2024-03-06_846.txt,"Israel’s war on Gaza: List of key events, day 152",3
2024-03-30_214.txt,"Israel’s war on Gaza: List of key events, day 176",3
2024-02-19_1031.txt,"Israel’s war on Gaza: List of key events, day 136",2
2024-02-01_1211.txt,"Israel’s war on Gaza: List of key events, day 118",2
2024-02-03_1189.txt,"Israel’s war on Gaza: List of key events, day 120",2
2024-02-05_1175.txt,"Israel’s war on Gaza: List of key events, day 122",2
2024-02-02_1201.txt,"Israel’s war on Gaza: List of key events, day 119",2
2024-02-06_1170.txt,"Israel’s war on Gaza: List of key events, day 123",2
2024-02-07_1162.txt,"Israel’s war on Gaza: List of key events, day 124",2
2024-01-04_1505.txt,"Israel’s war on Gaza: List of key events, day 90",1
2024-01-06_1490.txt,"Israel’s war on Gaza: List of key events, day 92",1
2024-01-23_1304.txt,"Israel’s war on Gaza: List of key events, day 109",1
2024-01-20_1339.txt,"Israel’s war on Gaza: List of key events, day 106",1
2024-02-20_1012.txt,"Israel’s war on Gaza: List of key events, day 137",2
2024-03-17_334.txt,"Is­rael’s war on Gaza: List of key events, day 163",3
2024-02-04_1183.txt,"Israel’s war on Gaza: List of key events, day 121",2
2024-02-12_1118.txt,"Israel’s war on Gaza: List of key events, day 129",2
2024-01-12_1429.txt,"Israel’s war on Gaza: List of key events, day 98",1
2024-01-13_1413.txt,"Israel’s war on Gaza: List of key events, day 99",1
2024-01-07_1480.txt,"Israel’s war on Gaza: List of key events, day 93",1
2024-01-10_1456.txt,"Israel’s war on Gaza: List of key events, day 96",1
2024-03-28_234.txt,"Israel’s war on Gaza: List of key events, day 174",3
2024-02-28_919.txt,"Israel’s war on Gaza: List of key events, day 145",2
2024-01-24_1295.txt,"Israel’s war on Gaza: List of key events, day 110",1
2024-01-28_1248.txt,"Israel’s war on Gaza: List of key events, day 114",1
2024-03-10_399.txt,"Is­rael’s war on Gaza: List of key events, day 156",3
2024-02-26_946.txt,"Israel’s war on Gaza: List of key events, day 143",2
2024-02-24_965.txt,"Israel’s war on Gaza: List of key events, day 141",2
2024-03-21_300.txt,"Is­rael’s war on Gaza: List of key events, day 167",3
2024-03-23_277.txt,"Is­rael’s war on Gaza: List of key events, day 169",3
2024-03-14_358.txt,"Is­rael’s war on Gaza: List of key events, day 160",3
2024-02-15_1072.txt,"Israel’s war on Gaza: List of key events, day 132",2
2024-03-22_285.txt,"Is­rael’s war on Gaza: List of key events, day 168",3
2024-03-12_380.txt,"Is­rael’s war on Gaza: List of key events, day 158",3
2024-03-25_265.txt,"Is­rael’s war on Gaza: List of key events, day 171",3
2024-02-21_1004.txt,"Israel’s war on Gaza: List of key events, day 138",2
2024-03-24_272.txt,"Is­rael’s war on Gaza: List of key events, day 170",3
2024-03-29_220.txt,"Israel’s war on Gaza: List of key events, day 175",3
2024-01-02_1532.txt,"Israel’s war on Gaza: List of key events, day 88",1
2024-02-16_1067.txt,"Israel’s war on Gaza: List of key events, day 133",2
2024-01-03_1520.txt,"Israel’s war on Gaza: List of key events, day 89",1
2024-03-13_367.txt,"Is­rael’s war on Gaza: List of key events, day 159",3
2024-02-29_907.txt,"Israel’s war on Gaza: List of key events, day 146",2
2024-01-09_1465.txt,"Israel’s war on Gaza: List of key events, day 95",1
2024-03-15_349.txt,"Is­rael’s war on Gaza: List of key events, day 161",3
